split,group,metric,model_name,value,delta(XGB-ALS),better,als_diagnosis,xgb_diagnosis
TRAIN,OVERALL,coverage_count,ALS Hybrid,111.0,-79.0000,ALS,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,OVERALL,coverage_count,XGBoost Hybrid,32.0,-79.0000,ALS,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,OVERALL,novelty,ALS Hybrid,1.6699,-1.1479,ALS,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,OVERALL,novelty,XGBoost Hybrid,0.522,-1.1479,ALS,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,OVERALL,users_evaluated,ALS Hybrid,72.0,+18.0000,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,OVERALL,users_evaluated,XGBoost Hybrid,90.0,+18.0000,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,REGISTERED,precision@5,ALS Hybrid,0.0407,+0.0294,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,REGISTERED,precision@5,XGBoost Hybrid,0.0701,+0.0294,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,REGISTERED,recall@5,ALS Hybrid,0.0335,+0.0349,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,REGISTERED,recall@5,XGBoost Hybrid,0.0684,+0.0349,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,REGISTERED,ndcg@5,ALS Hybrid,0.0347,+0.0410,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,REGISTERED,ndcg@5,XGBoost Hybrid,0.0757,+0.0410,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,REGISTERED,mrr,ALS Hybrid,0.0492,+0.0711,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,REGISTERED,mrr,XGBoost Hybrid,0.1203,+0.0711,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,REGISTERED,coverage_pct,ALS Hybrid,48.67,-34.5100,ALS,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,REGISTERED,coverage_pct,XGBoost Hybrid,14.16,-34.5100,ALS,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,REGISTERED,coverage_count,ALS Hybrid,110.0,-78.0000,ALS,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,REGISTERED,coverage_count,XGBoost Hybrid,32.0,-78.0000,ALS,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,REGISTERED,novelty,ALS Hybrid,1.9969,-1.4203,ALS,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,REGISTERED,novelty,XGBoost Hybrid,0.5766,-1.4203,ALS,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,REGISTERED,users_evaluated,ALS Hybrid,59.0,+18.0000,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,REGISTERED,users_evaluated,XGBoost Hybrid,77.0,+18.0000,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,GUEST,precision@5,ALS Hybrid,0.0308,+0.0000,Tie,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,GUEST,precision@5,XGBoost Hybrid,0.0308,+0.0000,Tie,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,GUEST,recall@5,ALS Hybrid,0.0262,+0.0000,Tie,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,GUEST,recall@5,XGBoost Hybrid,0.0262,+0.0000,Tie,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,GUEST,ndcg@5,ALS Hybrid,0.0354,+0.0207,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,GUEST,ndcg@5,XGBoost Hybrid,0.0561,+0.0207,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,GUEST,mrr,ALS Hybrid,0.0769,+0.0769,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,GUEST,mrr,XGBoost Hybrid,0.1538,+0.0769,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,GUEST,coverage_pct,ALS Hybrid,2.21,+0.0000,Tie,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,GUEST,coverage_pct,XGBoost Hybrid,2.21,+0.0000,Tie,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,GUEST,coverage_count,ALS Hybrid,5.0,+0.0000,Tie,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,GUEST,coverage_count,XGBoost Hybrid,5.0,+0.0000,Tie,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,GUEST,novelty,ALS Hybrid,0.1855,+0.0130,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,GUEST,novelty,XGBoost Hybrid,0.1985,+0.0130,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,GUEST,users_evaluated,ALS Hybrid,13.0,+0.0000,Tie,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TRAIN,GUEST,users_evaluated,XGBoost Hybrid,13.0,+0.0000,Tie,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,OVERALL,precision@5,ALS Hybrid,0.0113,+0.0080,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,OVERALL,precision@5,XGBoost Hybrid,0.0193,+0.0080,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,OVERALL,recall@5,ALS Hybrid,0.0519,+0.0345,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,OVERALL,recall@5,XGBoost Hybrid,0.0864,+0.0345,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,OVERALL,ndcg@5,ALS Hybrid,0.0295,+0.0193,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,OVERALL,ndcg@5,XGBoost Hybrid,0.0488,+0.0193,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,OVERALL,mrr,ALS Hybrid,0.0226,+0.0165,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,OVERALL,mrr,XGBoost Hybrid,0.0391,+0.0165,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,OVERALL,coverage_pct,ALS Hybrid,54.87,+3.9800,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,OVERALL,coverage_pct,XGBoost Hybrid,58.85,+3.9800,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,OVERALL,coverage_count,ALS Hybrid,124.0,+9.0000,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,OVERALL,coverage_count,XGBoost Hybrid,133.0,+9.0000,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,OVERALL,novelty,ALS Hybrid,1.5263,+1.0970,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,OVERALL,novelty,XGBoost Hybrid,2.6233,+1.0970,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,OVERALL,users_evaluated,ALS Hybrid,106.0,+39.0000,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,OVERALL,users_evaluated,XGBoost Hybrid,145.0,+39.0000,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
TEST,REGISTERED,precision@5,ALS Hybrid,0.0055,+0.0159,XGBoost,ACCEPTABLE GENERALISATION | Train P@5=0.0389 vs Test P@5=0.0113 (gap=+0.0276). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.,ACCEPTABLE GENERALISATION | Train P@5=0.0644 vs Test P@5=0.0193 (gap=+0.0451). Metrics are consistent across splits. Low absolute values are expected for sparse implicit feedback data.
